网址,标题,时间戳
https://search.cctv.com/link_p.php?targetpage=http://news.cntv.cn/2013/10/10/ARTI1381405172526804.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"莫言受聘
山东大学
讲座教授",2013-10-10 19:43:57
https://search.cctv.com/link_p.php?targetpage=http://news.cctv.com/2016/09/24/ARTIjPuSaOT3XFwsFJ6F4YkI160924.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"山东大学
时隔半个世纪再回青岛办学",2016-09-24 10:50:59
https://search.cctv.com/link_p.php?targetpage=http://gongyi.cctv.com/2018/01/24/ARTIvKTmsLXvnfIdbgZPpnN4180124.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"金牌实习生（初选入围）：
山东大学
周晓",2018-01-24 17:03:44
https://search.cctv.com/link_p.php?targetpage=http://news.cctv.com/2017/04/21/ARTIhBxQoaPUGXRfxqQysePl170421.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"山东大学
这本刊物什么来头，总理为何特意登门？",2017-04-21 20:11:36
https://search.cctv.com/link_p.php?targetpage=http://news.cctv.com/2019/07/12/ARTI6AWYMKhvCS83IFc5QSBG190712.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"山东大学
就“学伴”项目致歉：将进行全面评估",2019-07-12 16:52:24
https://search.cctv.com/link_p.php?targetpage=http://news.cctv.com/2019/07/12/ARTIoNmW3DxCH2osl8OVaSSy190712.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"山东大学
就“学伴”项目致歉：将进行全面评估",2019-07-12 15:57:41
https://search.cctv.com/link_p.php?targetpage=http://gongyi.cctv.com/2017/10/31/ARTIqKo4Msn168kxCZl786k6171031.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"金牌实习生（初选入围）：
山东大学
康鑫",2017-10-31 15:22:25
https://search.cctv.com/link_p.php?targetpage=https://people.cctv.com/2021/03/17/ARTIcYBhQdGao3kJrhrPVeYe210317.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,愿为初心付此生 ——记全国公安系统一级英雄模范、济南市公安局特警支队副支队长张保国,2021-03-17 10:17:06
https://search.cctv.com/link_p.php?targetpage=http://news.cctv.com/2019/07/12/ARTILgIxlJj6imbqYWtuWgon190712.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"山东大学
“学伴”项目惹争议 学校师生：为友好交流",2019-07-12 10:01:02
https://search.cctv.com/link_p.php?targetpage=http://news.cctv.com/2017/07/19/ARTIDIlcPq30TEgJgQeZgaxc170719.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E5%B1%B1%E4%B8%9C%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"郭新立任
山东大学
党委书记 樊丽明任校长(简历)",2017-07-19 13:48:38
