网址,标题,时间戳
https://www.toutiao.com/group/6890507159700931079/,山东大学这次牛了，仅次于清华北大，向世人证明了实力, 粟中斋笔记 ⋅ 17评论 ⋅ 4月前
https://www.toutiao.com/group/6835574473362506244/,山东大学现任领导班子成员的籍贯及毕业院校情况分析！, 姑苏寒月 ⋅ 40评论 ⋅ 9月前
https://www.toutiao.com/group/6896081056789709324/,如何评价山东大学仅9人入选学科评议组，远落后于吉大和川大？, 逆流时代 ⋅ 22评论 ⋅ 3月前
https://www.toutiao.com/group/6926698193824924174/,山东学子想要考进山东大学，难度有多大？, 海叔教育堂 ⋅ 34评论 ⋅ 1月前
https://www.toutiao.com/group/6824320918701998605/,山东大学：就业率高达100%的专业名单公布，多达53个, 圆梦志愿 ⋅ 19评论 ⋅ 10月前
https://www.toutiao.com/group/6712763821531857412/,山东大学回应了, 人民日报 ⋅ 1132评论 ⋅ 1年前
https://www.toutiao.com/group/6908643244175786499/&list_entrance=search&root_category_name=search,山东大学介绍, 成功中国 ⋅ 6评论 ⋅ 2月前
https://www.toutiao.com/group/6896081056789709324/,如何评价山东大学仅9人入选学科评议组，远落后于吉大和川大？, 逆流时代 ⋅ 22评论 ⋅ 3月前
https://www.toutiao.com/group/6907533057822212612/,山东大学校名出自毛主席手书 但却不是专门题写 这背后有啥故事, 掌心春秋 ⋅ 16评论 ⋅ 2月前
https://www.toutiao.com/group/6787722063076393485/,用数据说话，山东大学是一所什么层次的大学？在全国影响力如何？, 途虫的百味人生 ⋅ 8评论 ⋅ 1年前
https://www.toutiao.com/group/6814083485926425096/,山东大学征集“山大精神”表述语：庆祝明年建校120周年, 澎湃新闻 ⋅ 0评论 ⋅ 11月前
https://www.toutiao.com/group/6899739078896468487/,网传山东大学是“名校之壁”，什么是“名校之壁”？为何这样说？, 圆梦志愿 ⋅ 25评论 ⋅ 3月前
https://www.toutiao.com/group/6874575091439501832/,山东大学“解封”，网友：又是别人家的学校, 澎湃新闻 ⋅ 6评论 ⋅ 5月前
https://www.toutiao.com/group/6872356627757040136/,饱受争议一年后，山东大学2020年录取情况到底如何？, 学霸侠 ⋅ 34评论 ⋅ 5月前
https://www.toutiao.com/group/6835574473362506244/,山东大学现任领导班子成员的籍贯及毕业院校情况分析！, 姑苏寒月 ⋅ 40评论 ⋅ 9月前
https://www.toutiao.com/group/6854130360134205959/&list_entrance=search&root_category_name=search,想要报考山东大学？听招生办主任详细解答，632分录取比较有把握, 闪电新闻 ⋅ 0评论 ⋅ 7月前
https://www.toutiao.com/group/6939013442707653128/,山东大学与国家文物局考古研究中心签署战略合作协议, 中国青年报 ⋅ 0评论 ⋅ 1天前
https://www.toutiao.com/group/6747936110116078091/,山东大学，来了, 新华社 ⋅ 1231评论 ⋅ 1年前
https://www.toutiao.com/group/6893791744249299463/,2021年山东大学硕士研究生减招23%，这些专业招生波动大, 优志愿 ⋅ 6评论 ⋅ 4月前
https://www.toutiao.com/group/6886062034278941188/,校区越建越多，在济青威有九个校区的山东大学建成一流大学了吗？, 逆流时代 ⋅ 133评论 ⋅ 4月前
https://www.toutiao.com/group/6913472239325200899/,山东大学发现：新冠病毒M蛋白抑制干扰素激活，实现免疫逃逸, 生物世界 ⋅ 1296评论 ⋅ 2月前
https://www.toutiao.com/group/6918247008251691532/,山东大学迎来新校区，投资125亿，将在2024年完成一期配建, 雅儿说教育 ⋅ 25评论 ⋅ 1月前
https://www.toutiao.com/group/6935018610532287007/,山大撤销临床医学七年制！新增3个本科专业，其中1个全国首设, 光明网 ⋅ 21评论 ⋅ 12天前
https://www.toutiao.com/group/6866240755367674372/,山东大学2020本科录取情况（2021考生收藏）, 志愿大神王老师 ⋅ 31评论 ⋅ 6月前
https://www.toutiao.com/group/6938686172994634253/&list_entrance=search&root_category_name=search,83秒｜又是别人家的学校！山东大学上线自助售饭机 想吃啥自助点还能微信预约, 闪电新闻 ⋅ 4评论 ⋅ 2天前
https://www.toutiao.com/group/6908156618739909131/,山东大学惨遭“滑铁卢”：降低40分录取，仍未完成招生计划, 壹教堂 ⋅ 181评论 ⋅ 2月前
https://www.toutiao.com/group/6775038263359963661/,山东大学：审议撤销学术不端人员学位，暂停相关导师招生, 澎湃新闻 ⋅ 82评论 ⋅ 1年前
https://www.toutiao.com/group/6912261452586009091/,内地大学最新排名：清北居然被超越，亮眼的是山东大学, 壹教堂 ⋅ 23评论 ⋅ 2月前
https://www.toutiao.com/group/6938699103182258702/,山东大学后勤保障部党委到齐鲁晚报·齐鲁壹点考察调研, 齐鲁壹点 ⋅ 0评论 ⋅ 2天前
https://www.toutiao.com/group/6853344732743991815/,深度：山东大学济南主校区舍历城、长清而落地章丘是一步错棋吗？, 逆流时代 ⋅ 230评论 ⋅ 7月前
https://www.toutiao.com/group/6913821549585875468/,从华东大学、齐鲁大学开始，讲解山东大学百年校史, 电商博士说 ⋅ 4评论 ⋅ 2月前
https://www.toutiao.com/group/6883830177365754376/,中国第一座有章程的大学，出了多少牛人？, 中国国家地理地道风物 ⋅ 0评论 ⋅ 4月前
https://www.toutiao.com/group/6923577018059735556/,袁世凯创办的山东大学？解读山东大学, 山东高考志愿咨询村长 ⋅ 18评论 ⋅ 1月前
https://www.toutiao.com/group/6881559541029274116/,山东大学威海校区实力如何？和山东大学本部有什么区别？本篇回答, 圆梦志愿 ⋅ 22评论 ⋅ 5月前
https://www.toutiao.com/group/6907421253531894276/,别再“唱衰”山大！2020年排名全国13，已超过川大和吉大, 壹教堂 ⋅ 31评论 ⋅ 2月前
https://www.toutiao.com/group/6833541466682294795/,笑死人不偿命的山东省大学别称，山东大学为何自诩世界一流？, 独木桥教育 ⋅ 39评论 ⋅ 9月前
