时间,主题,内容
3月9日 18:21,置顶,"听山东大学讲述两位校长与《共产党宣言》的故事】
1848年，《共产党宣言》正式出版。“开疆拓土”的译者中，有着山大两任校长：华岗、成仿吾。跟着姗姗一起通过视频感受两位校长、六次翻译的背后有着何种炽热初心与无悔坚守吧~"
13分钟前,#姗姗话题圈#,你的姓氏里最出名的人是谁？
今天 15:02,#山大书屋#,"“无边无际连绵的季风雨，
水獭也许会再度化身为鲸。”
黄锦树的书里，正值水汽氤氲的雨季。
（via@PoemsForYou）"
今天 13:32,#新技能get√#,"【你一定要知道的9个视觉法则】
当你面对设计需求不知如何入手时，除了把素材变大变小、换颜色，还可以有这9种实用的视觉法则。姗姗先帮大家收藏啦！
（via@优设）"
今天 11:50,#山大放映室#,"【TED演讲 | 如何更好地处理愤怒情绪？】生活中，我们常会因愤怒而失去理智，造成一些不可挽回的伤害。为何我们经常会因为一些小事而生气？如何更好地理解及处理愤怒情绪？和姗姗一起听听愤怒研究专家Ryan Martin的意见吧~（via@TED精选Live）
LTED精选Live的微博视频"
今天 10:18,我爱拍山大超话,"种一棵树，最好的时间是十年前，其次是现在。
快来评论区分享你拍到的山大吧！"
今天 08:24,#早安，山大！#,"登上顶峰的斗争本身，
足以充实人的心灵。
——加缪

早安，小山竹们~"
3月20日 23:19,#山大心语#,"有一件好事情——我觉得：自己已经越发进步，对于旁人的责难可以不介意了。
——托尔斯泰

晚安"
3月20日 22:45,#每日山问#,下面哪种剧种被称为“中国百戏之师”？ R山东大学的微博投票
3月20日 22:07,#姗姗话题圈#,如果可以获得一种超能力，山竹们最想拥有什么超能力呢？
3月20日 20:12,#山大放映室#,"国宝“复活”记，自然博物馆展示的灵魂是标本，这些栩栩如生的标本是怎样被制作出来的？标本制作师是怎样赋予它们新的生命？跟着上海自然博物馆的标本制作师马鸣一去看看，他和同事们是如何“复活”国宝大熊猫的。L指尖博物馆MuseuM的微博视频
（via@指尖博物馆museum）"
3月20日 19:10,#新技能get√#,"考研英文自我介绍+问题，快来看看吧~
（via@考研圈）"
3月20日 17:35,#山大书屋#,"“淅淅西风淡淡烟，几点疏疏雨。”

在春天，下雨也浪漫。
（via@poemsforyou）"
3月20日 16:06,#山大放映室#,"【深海怪鱼逗翻一众科学家 Scientists' Hilarious Reaction to Bizarre Deep-Sea Fish】
夏威夷海域1600米深处发现的怪鱼吞噬鳗！谁还不会点儿防身之术呢！
每个小朋友都幻想拥有一只可以将自己变大变小变漂亮的魔法棒！夏威夷海底深处还真有一只能变大变小变漂亮的怪鱼，还自带逗比和防 ...展开全文c"
3月20日 14:16,#百廿故事，山大星辰#,"春秋迭代，初心如磐。百廿山大，历经风霜洗礼；万千俊才，矢志强校兴国。让我们一起望璀璨星辰，表吾辈敬意，汇磅礴力量。
汤腾汉(1900.5.2-1988.6.23)--福建龙溪人。药物化学家，中国军用毒剂化学检验研究先驱。1930-1935、1936-1938年先后任国立青岛大学、国立山东大学化学系教 ...展开全文c"
3月20日 11:47,#姗姗话题圈#,
3月20日 10:36,#山大资讯#,"【空间科学攀登团队证实“地球风”可在月球表面生成水】
近日，山东大学“太阳爆发及其对行星空间环境的影响”攀登团队、空间科学研究院磁层与太阳风相互作用课题组和行星科学课题组，联合国内外多个单位科研人员，通过多学科交叉研究（空间物理、天体化学和行星光谱学），提出并证实“地球 ...展开全文c"
3月20日 08:17,#早安，山大#,"没有另一种选择，你所有现有的选择都是对的，它就像人的感情一样，无须去假设，因为无论怎样去假设，那假设都不会成立。
——山本文绪

早安呀"
3月19日 23:02,#山大心语#,"自我控制是最强者的本能。
——乔治·伯纳·萧
晚安😴"
3月19日 21:54,#新技能get√#,考研复试英语口语面试必备，有需要的同学赶快码起来吧！（via.@学霸课长）
3月19日 20:29,#山大书屋#,"“风止于山，潮覆于海 如此人间”
和姗姗一起感受诗人笔下的“风“和浪潮。
（via.@Poemsforyou）"
3月19日 20:03,#每日山问#,人体最复杂的关节是 ？R山东大学的微博投票
3月19日 19:26,#姗姗话题圈#,山竹们都做过哪些有趣的梦呢？
3月19日 16:22,#新技能get√#,英语四级英语六级听力形近音近词，有需要的山竹赶快码住！（via.@大学霸儿）
3月19日 14:10,#山大资讯#,"国内首次！山大团队研制的日冕仪观测到白光日冕像
早在2018年10月，山东大学、中国科学院长春光学精密机械与物理研究所和云南天文台三家单位就曾联合，利用自主研制的成像光谱日冕仪样机首次观测到太阳E冕图像。
而本次观测所使用的日冕仪是山大受中国科学院云南天文台委托，为其承担的中 ...展开全文c"
3月19日 11:48,#姗姗话题圈#,山竹们都有哪些提高生活幸福感的小tips ？
3月19日 11:02,#山大放映室#,【有梦想谁都了不起！
3月19日 10:00,#山大放映室#,【超好听！
3月19日 08:05,#早安，山大#,"人一生中有两个最重要的日子，一是出生那天，二是发现你为何而生的那天
————马克·吐温
早安"
3月18日 22:41,#山大心语#,"
寒风推送着混浊的波澜，波澜拥向歪斜的石岸。石缝中有一抹淡绿的幼芽，顽强地展开了小小的叶瓣。
——顾城

晚安"
3月18日 20:38,#每日山问#,今日科普 】 R山东大学的微博投票
3月18日 19:44,#山大放映室#,外国网友用乐高来“下厨房”，看着这个视频，无论是听觉还是视觉都好享受，也太有趣了，快和姗姗一起来看看吧！（via@英国报姐 ） L英国报姐的微博视频
